index_name,series_id,unique_id,ds,y
TOPIX1000,return,TOPIX1000_return,2009-01-05,0.0200208232
TOPIX1000,return,TOPIX1000_return,2009-01-06,0.0003021609
TOPIX1000,return,TOPIX1000_return,2009-01-07,0.0140060647
TOPIX1000,return,TOPIX1000_return,2009-01-08,-0.0311665698
TOPIX1000,return,TOPIX1000_return,2009-01-09,-0.0068209919
TOPIX1000,return,TOPIX1000_return,2009-01-13,-0.0481666776
TOPIX1000,return,TOPIX1000_return,2009-01-14,0.006552803
TOPIX1000,return,TOPIX1000_return,2009-01-15,-0.0291285334
TOPIX1000,return,TOPIX1000_return,2009-01-16,0.027758978
TOPIX1000,return,TOPIX1000_return,2009-01-19,-0.0002878303
TOPIX1000,return,TOPIX1000_return,2009-01-20,-0.0155959486
TOPIX1000,return,TOPIX1000_return,2009-01-21,-0.0224482655
TOPIX1000,return,TOPIX1000_return,2009-01-22,0.0113449207
TOPIX1000,return,TOPIX1000_return,2009-01-23,-0.0285124198
TOPIX1000,return,TOPIX1000_return,2009-01-26,-0.0070804225
TOPIX1000,return,TOPIX1000_return,2009-01-27,0.0491872423
TOPIX1000,return,TOPIX1000_return,2009-01-28,-0.0014859385
TOPIX1000,return,TOPIX1000_return,2009-01-29,0.0178706176
TOPIX1000,return,TOPIX1000_return,2009-01-30,-0.0304397578
TOPIX1000,return,TOPIX1000_return,2009-02-02,-0.0207283004
TOPIX1000,return,TOPIX1000_return,2009-02-03,-0.0051874502
TOPIX1000,return,TOPIX1000_return,2009-02-04,0.0250710668
TOPIX1000,return,TOPIX1000_return,2009-02-05,-0.0082311993
TOPIX1000,return,TOPIX1000_return,2009-02-06,0.0060405248
TOPIX1000,return,TOPIX1000_return,2009-02-09,-0.0149483966
TOPIX1000,return,TOPIX1000_return,2009-02-10,-0.0009697254
TOPIX1000,return,TOPIX1000_return,2009-02-12,-0.0231691874
TOPIX1000,return,TOPIX1000_return,2009-02-13,0.0055620142
TOPIX1000,return,TOPIX1000_return,2009-02-16,0.006942725
TOPIX1000,return,TOPIX1000_return,2009-02-17,-0.0177152313
TOPIX1000,return,TOPIX1000_return,2009-02-18,-0.0097829851
TOPIX1000,return,TOPIX1000_return,2009-02-19,0.0030921005
TOPIX1000,return,TOPIX1000_return,2009-02-20,-0.0161973785
TOPIX1000,return,TOPIX1000_return,2009-02-23,-0.0056163852
TOPIX1000,return,TOPIX1000_return,2009-02-24,-0.0064761262
TOPIX1000,return,TOPIX1000_return,2009-02-25,0.0213422576
TOPIX1000,return,TOPIX1000_return,2009-02-26,-0.0043161131
TOPIX1000,return,TOPIX1000_return,2009-02-27,0.0194139339
TOPIX1000,return,TOPIX1000_return,2009-03-02,-0.0298044932
TOPIX1000,return,TOPIX1000_return,2009-03-03,-0.0106363981
TOPIX1000,return,TOPIX1000_return,2009-03-04,0.0070365886
TOPIX1000,return,TOPIX1000_return,2009-03-05,0.0128350521
TOPIX1000,return,TOPIX1000_return,2009-03-06,-0.0276223353
TOPIX1000,return,TOPIX1000_return,2009-03-09,-0.0152383022
TOPIX1000,return,TOPIX1000_return,2009-03-10,-0.0097630624
TOPIX1000,return,TOPIX1000_return,2009-03-11,0.0272875159
TOPIX1000,return,TOPIX1000_return,2009-03-12,-0.0302602072
TOPIX1000,return,TOPIX1000_return,2009-03-13,0.0340361591
TOPIX1000,return,TOPIX1000_return,2009-03-16,0.0240496616
TOPIX1000,return,TOPIX1000_return,2009-03-17,0.0261855396
TOPIX1000,return,TOPIX1000_return,2009-03-18,0.0055343935
TOPIX1000,return,TOPIX1000_return,2009-03-19,-3.85272e-05
TOPIX1000,return,TOPIX1000_return,2009-03-23,0.0354236002
TOPIX1000,return,TOPIX1000_return,2009-03-24,0.0271243271
TOPIX1000,return,TOPIX1000_return,2009-03-25,0.0067317358
TOPIX1000,return,TOPIX1000_return,2009-03-26,0.0223366087
TOPIX1000,return,TOPIX1000_return,2009-03-27,-0.002766381
TOPIX1000,return,TOPIX1000_return,2009-03-30,-0.0433365607
TOPIX1000,return,TOPIX1000_return,2009-03-31,-0.0201864231
TOPIX1000,return,TOPIX1000_return,2009-04-01,0.0266837792
TOPIX1000,return,TOPIX1000_return,2009-04-02,0.0421249691
TOPIX1000,return,TOPIX1000_return,2009-04-03,0.0060356402
TOPIX1000,return,TOPIX1000_return,2009-04-06,-0.0003961906
TOPIX1000,return,TOPIX1000_return,2009-04-07,0.002027819
TOPIX1000,return,TOPIX1000_return,2009-04-08,-0.0209583903
TOPIX1000,return,TOPIX1000_return,2009-04-09,0.0330134322
TOPIX1000,return,TOPIX1000_return,2009-04-10,0.0052210183
TOPIX1000,return,TOPIX1000_return,2009-04-13,0.0034206112
TOPIX1000,return,TOPIX1000_return,2009-04-14,-0.006612759
TOPIX1000,return,TOPIX1000_return,2009-04-15,-0.0100194903
TOPIX1000,return,TOPIX1000_return,2009-04-16,-0.0039531988
TOPIX1000,return,TOPIX1000_return,2009-04-17,0.0166675256
TOPIX1000,return,TOPIX1000_return,2009-04-20,0.0031712346
TOPIX1000,return,TOPIX1000_return,2009-04-21,-0.0209187675
TOPIX1000,return,TOPIX1000_return,2009-04-22,-0.0006178082
TOPIX1000,return,TOPIX1000_return,2009-04-23,0.0116049303
TOPIX1000,return,TOPIX1000_return,2009-04-24,-0.0112989735
TOPIX1000,return,TOPIX1000_return,2009-04-27,0.0037084926
TOPIX1000,return,TOPIX1000_return,2009-04-28,-0.0256065161
TOPIX1000,return,TOPIX1000_return,2009-04-30,0.0321695783
TOPIX1000,return,TOPIX1000_return,2009-05-01,0.0111243224
TOPIX1000,return,TOPIX1000_return,2009-05-07,0.0469445548
TOPIX1000,return,TOPIX1000_return,2009-05-08,0.0106724625
TOPIX1000,return,TOPIX1000_return,2009-05-11,0.0057226078
TOPIX1000,return,TOPIX1000_return,2009-05-12,-0.0170271515
TOPIX1000,return,TOPIX1000_return,2009-05-13,0.0037135654
TOPIX1000,return,TOPIX1000_return,2009-05-14,-0.0296084875
TOPIX1000,return,TOPIX1000_return,2009-05-15,0.0223597422
TOPIX1000,return,TOPIX1000_return,2009-05-18,-0.025226767
TOPIX1000,return,TOPIX1000_return,2009-05-19,0.0235729077
