unique_id,model,n,correct,directional_accuracy,p_value_one_sided
RUSSELL1000_return,TimeGPT,521,268,0.5143953934740882,0.26984241357102184
RUSSELL1000_return,FEDformer,521,286,0.5489443378119002,0.014194284646079304
RUSSELL1000_return,XGBoost,521,277,0.5316698656429942,0.0804334784207354
RUSSELL1000_return,ZeroBaseline,0,0,,
RUSSELL1000_return,LastReturnBaseline,521,268,0.5143953934740882,0.26984241357102184
TOPIX1000_return,TimeGPT,498,249,0.5,0.5178680588944633
TOPIX1000_return,FEDformer,498,248,0.4979919678714859,0.553461232212235
TOPIX1000_return,XGBoost,498,245,0.4919678714859438,0.6566152420432789
TOPIX1000_return,ZeroBaseline,0,0,,
TOPIX1000_return,LastReturnBaseline,498,246,0.4939759036144578,0.6230989730650263
