unique_id,split,model,directional_accuracy,n,start_date,end_date
RUSSELL1000_return,Q1,TimeGPT,0.549618320610687,131,2021-01-05,2021-07-20
RUSSELL1000_return,Q1,FEDformer,0.6030534351145038,131,2021-01-05,2021-07-20
RUSSELL1000_return,Q1,XGBoost,0.5267175572519084,131,2021-01-05,2021-07-20
RUSSELL1000_return,Q1,LastReturnBaseline,0.5343511450381679,131,2021-01-05,2021-07-20
RUSSELL1000_return,Q2,TimeGPT,0.5384615384615384,130,2021-07-21,2022-01-28
RUSSELL1000_return,Q2,FEDformer,0.5153846153846153,130,2021-07-21,2022-01-28
RUSSELL1000_return,Q2,XGBoost,0.5846153846153846,130,2021-07-21,2022-01-28
RUSSELL1000_return,Q2,LastReturnBaseline,0.5230769230769231,130,2021-07-21,2022-01-28
RUSSELL1000_return,Q3,TimeGPT,0.45384615384615384,130,2022-01-31,2022-08-12
RUSSELL1000_return,Q3,FEDformer,0.5692307692307692,130,2022-01-31,2022-08-12
RUSSELL1000_return,Q3,XGBoost,0.5538461538461539,130,2022-01-31,2022-08-12
RUSSELL1000_return,Q3,LastReturnBaseline,0.4846153846153846,130,2022-01-31,2022-08-12
RUSSELL1000_return,Q4,TimeGPT,0.5153846153846153,130,2022-08-15,2023-02-28
RUSSELL1000_return,Q4,FEDformer,0.5076923076923077,130,2022-08-15,2023-02-28
RUSSELL1000_return,Q4,XGBoost,0.46153846153846156,130,2022-08-15,2023-02-28
RUSSELL1000_return,Q4,LastReturnBaseline,0.5153846153846153,130,2022-08-15,2023-02-28
TOPIX1000_return,Q1,TimeGPT,0.512,125,2021-01-05,2021-07-14
TOPIX1000_return,Q1,FEDformer,0.536,125,2021-01-05,2021-07-14
TOPIX1000_return,Q1,XGBoost,0.528,125,2021-01-05,2021-07-14
TOPIX1000_return,Q1,LastReturnBaseline,0.48,125,2021-01-05,2021-07-14
TOPIX1000_return,Q2,TimeGPT,0.5161290322580645,124,2021-07-15,2022-01-28
TOPIX1000_return,Q2,FEDformer,0.532258064516129,124,2021-07-15,2022-01-28
TOPIX1000_return,Q2,XGBoost,0.5,124,2021-07-15,2022-01-28
TOPIX1000_return,Q2,LastReturnBaseline,0.49193548387096775,124,2021-07-15,2022-01-28
TOPIX1000_return,Q3,TimeGPT,0.46774193548387094,124,2022-01-31,2022-08-10
TOPIX1000_return,Q3,FEDformer,0.46774193548387094,124,2022-01-31,2022-08-10
TOPIX1000_return,Q3,XGBoost,0.41935483870967744,124,2022-01-31,2022-08-10
TOPIX1000_return,Q3,LastReturnBaseline,0.5080645161290323,124,2022-01-31,2022-08-10
TOPIX1000_return,Q4,TimeGPT,0.504,125,2022-08-15,2023-02-28
TOPIX1000_return,Q4,FEDformer,0.456,125,2022-08-15,2023-02-28
TOPIX1000_return,Q4,XGBoost,0.52,125,2022-08-15,2023-02-28
TOPIX1000_return,Q4,LastReturnBaseline,0.496,125,2022-08-15,2023-02-28
